name,kcal_per_100gr,fat_per_100gr,fiber_per_100gr,protein_per_100gr,carbs_per_100gr,user_id,notes,tags,is_verified,image_url
"Louis Rich, Franks",187.5,13.5,0,11.2,5.3,,,,TRUE,
"Louis Rich, Turkey",102.4,0.8,0,19.3,4.5,,,,TRUE,
"Louis Rich, Turkey Bologna",183.4,13.2,0,11.3,4.85,,,,TRUE,
"Louis Rich, Turkey Breast",94.2,1,0,19.7,1.6,,,,TRUE,
"Louis Rich, Turkey Breast & White Turkey",99.4,2,0,17.1,3.25,,,,TRUE,
"Louis Rich, Turkey Breast&White Turkey",100.7,2.3,0,17.6,2.4,,,,TRUE,
"Louis Rich, Turkey Ham",113.3,4.1,0,18.2,0.9,,,,TRUE,
"Louis Rich, Turkey Nuggets/Sticks",276.3,17.5,0.5,14.3,15.4,,,,TRUE,
"Louis Rich, Turkey Salami",147.4,9.4,0,15.3,0.4,,,,TRUE,
"Louis Rich, Turkey Salami Cotto",149.1,9.5,0,15,0.9,,,,TRUE,
"Louis Rich, Turkey Smoked Sausage",160.9,9.9,0,14.8,3.15,,,,TRUE,
"Luncheon Meat, Beef",305,26.2,0,14.4,2.9,,,,TRUE,
"Luncheon Meat, Bf",112.72,3.4,0,17.94,2.59,,,,TRUE,
"Luncheon Meat, Pork",331.1,30.3,0,12.5,2.1,,,,TRUE,
"Luncheon Meat, Pork W/Ham",311.4,26.6,0,13.4,4.6,,,,TRUE,
"Luncheon Meat, Pork&Chick",191.42,13.9,0,15.23,1.35,,,,TRUE,
"Luncheon Sausage, Pork&Bf",255.94,20.9,0,15.38,1.58,,,,TRUE,
"Luncheon Slices, Meatless",188.87,11.11,0,17.78,4.44,,,,TRUE,
"Lupins, Mature Seeds",393.86,9.74,0,36.17,40.38,,,,TRUE,
"Luxury Loaf, Pork",136.4,4.8,0,18.4,4.9,,,,TRUE,
Macadamia Nuts,768.85,75.77,8.6,7.91,13.82,,,,TRUE,
"Macadamia Nuts, Dry Rstd",769.4,76.08,8,7.79,13.38,,,,TRUE,
Macaroni,155.01,0.93,1.8,5.8,30.86,,,,TRUE,
"Macaroni, Ckd",155.01,0.93,1.8,5.8,30.86,,,,TRUE,
"Macaroni, Dry",364.43,1.51,3.2,13.04,74.67,,,,TRUE,
"Macaroni, Veg",361.44,1.04,4.3,13.14,74.88,,,,TRUE,
"Macaroni, Whole-Wheat",371.24,1.4,8.3,14.63,75.03,,,,TRUE,
"Mace, Ground",520.26,32.38,20.2,6.71,50.5,,,,TRUE,
Mackerel,299.9,25.1,0,18.5,0,,,,TRUE,
"Mackerel, Atlantic",199.41,13.89,0,18.6,0,,,,TRUE,
"Mackerel, Jack",149.46,6.3,0,23.19,0,,,,TRUE,
"Mackerel, King",99.12,2,0,20.28,0,,,,TRUE,
"Mackerel, Pacific&Jack",151.29,7.89,0,20.07,0,,,,TRUE,
"Mackerel, Spanish",133.86,6.3,0,19.29,0,,,,TRUE,
Malabar Spinach,29.78,0.78,2.1,2.98,2.71,,,,TRUE,
Malt Beverage,34.12,0.12,0,0.21,8.05,,,,TRUE,
"Malted Drk Mix, Choc",411,4.76,4.8,5.1,86.94,,,,TRUE,
"Malted Drk Mix, Nat",427.68,9.52,0.1,14.29,71.21,,,,TRUE,
Mammy-Apple,56.5,0.5,3,0.5,12.5,,,,TRUE,
"Mango Nectar, Cnd",53.46,0.06,0.3,0.11,13.12,,,,TRUE,
Mangos,72.47,0.27,1.8,0.51,17,,,,TRUE,
"Mangosteen, Cnd",78.5,0.58,1.8,0.41,17.91,,,,TRUE,
"Maraschino Cherries, Cnd",170.65,0.21,3.2,0.22,41.97,,,,TRUE,
"Margarine Sprd, Fat-Free",45.12,3.04,0,0.1,4.34,,,,TRUE,
"Margarine Sprd, Tub",432.01,47.53,0,0.2,0.86,,,,TRUE,
"Margarine, Indus",729.4,80.2,0,1.9,0,,,,TRUE,
"Margarine, Margarine-Like Veg Oil Sprd",542.41,59.81,0,0.17,0.86,,,,TRUE,
"Margarine, Reg",731.7,80.5,0,0.9,0.9,,,,TRUE,
"Margarine, Stk",729.83,80.71,0,0.16,0.7,,,,TRUE,
"Margarine, Tub",730.08,80.32,0,0.41,1.39,,,,TRUE,
"Margarine, Veg Oil Sprd",546.75,60.39,0,0.12,0.69,,,,TRUE,
"Margarine-Butter Blend, Soybn Oil & Butter",727.2,80.32,0,0.31,0.77,,,,TRUE,
"Margarine-Like Shortening, Indus",639,71,0,0,0,,,,TRUE,
"Margarine-Like Sprd, Benecol Lt Sprd",371.23,38.71,0,0,5.71,,,,TRUE,
"Margarine-Like Sprd, Fat Free",43,3,0,1.5,2.5,,,,TRUE,
"Margarine-Like Sprd, Liq",631.16,70,0,0.29,0,,,,TRUE,
"Margarine-Like Sprd, Made W/Yogurt",633.2,70,0,0.3,0.5,,,,TRUE,
"Margarine-Like Sprd, Red Cal",362.4,40,0,0.6,0,,,,TRUE,
"Margarine-Like Sprd, Smart Balance Lt Buttery Sprd",335.69,36.41,0,0.02,1.98,,,,TRUE,
"Margarine-Like Sprd, Smart Balance Omega Plus Sprd",601.2,66.8,0,0,0,,,,TRUE,
"Margarine-Like Sprd, Smart Balance Reg Buttery Sprd",602.1,66.9,0,0,0,,,,TRUE,
"Margarine-Like Sprd, Smart Beat Smart Squeeze",47.3,2.1,0,0,7.1,,,,TRUE,
"Margarine-Like Sprd, Smart Beat Super Lt Wo/ Saturated Fat",153.9,17.1,0,0,0,,,,TRUE,
"Margarine-Like Sprd, Stk Or Tub",534.8,52,0,0,16.7,,,,TRUE,
"Margarine-Like Sprd, Unspec Oils",344.61,37.77,0,0.51,0.66,,,,TRUE,
"Marie Callender Tky W/Gry & Drsng W/ Mshd Pot, Grn Bns & Cran",99.33,2.37,1,8.15,11.35,,,,TRUE,
"Marjoram, Dried",356.24,7.04,40.3,12.66,60.56,,,,TRUE,
"Marmalade, Orange",266.4,0,0.7,0.3,66.3,,,,TRUE,
"Martha White Foods, Martha White'S Bttrmlk Biscuit Mix",387.95,13.23,1.5,7.81,59.41,,,,TRUE,
Mashu Roots,135.2,2.4,0,5.8,22.6,,,,TRUE,
"Mayonnaise Drsng, No Chol",701.4,77.8,0,0,0.3,,,,TRUE,
"Mayonnaise, Lo Na",238,19.2,0,0.3,16,,,,TRUE,
"Mayonnaise, Red-Cal Or Diet",330.1,33.3,0,0.9,6.7,,,,TRUE,
"Mckee Baking, Littl Debbi Nut Bar",548,32.8,0,8,55.2,,,,TRUE,
Meat Drippings,887.31,98.59,0,0,0,,,,TRUE,
Meat Extender,332.45,2.97,17.5,38.11,38.32,,,,TRUE,
"Meatballs, Meatless",197,9,4.6,21,8,,,,TRUE,
"Melon Balls, Frozen",37.37,0.25,0.7,0.84,7.94,,,,TRUE,
"Melon, Banana",21.4,0.2,0.3,0.84,4.06,,,,TRUE,
"Melons, Cantaloupe",37.71,0.19,0.9,0.84,8.16,,,,TRUE,
"Melons, Casaba",31.66,0.1,0.9,1.11,6.58,,,,TRUE,
"Melons, Honeydew",39.78,0.14,0.8,0.54,9.09,,,,TRUE,
"Milk Dssrt, Frz",177,1,0,4.3,37.7,,,,TRUE,
"Milk Shakes, Thick Choc",121.1,2.7,0.3,3.05,21.15,,,,TRUE,
"Milk Shakes, Thick Vanilla",113.71,3.03,0,3.86,17.75,,,,TRUE,
"Milk, Bttrmlk",40.32,0.88,0,3.31,4.79,,,,TRUE,
"Milk, Buttermilk",385.22,5.78,0,34.3,49,,,,TRUE,
"Milk, Choc",84.55,3.39,0.8,3.17,10.34,,,,TRUE,
"Milk, Choc Bev",77.57,2.33,1,3.52,10.63,,,,TRUE,
"Milk, Cnd",327.54,8.7,0,7.91,54.4,,,,TRUE,
"Milk, Dry",499.35,26.71,0,26.32,38.42,,,,TRUE,
"Milk, Filled",62.88,3.4,0,3.33,4.74,,,,TRUE,
"Milk, Fluid",61.38,3.46,0,3.1,4.46,,,,TRUE,
"Milk, Goat",69.3,4.14,0,3.56,4.45,,,,TRUE,
"Milk, Human",71.1,4.38,0,1.03,6.89,,,,TRUE,
"Milk, Imitation",45.6,2,0,1.6,5.3,,,,TRUE,
"Milk, Indian Buffalo",97.73,6.89,0,3.75,5.18,,,,TRUE,
"Milk, Lowfat",42.17,0.97,0,3.37,4.99,,,,TRUE,
"Milk, Nonfat",40.33,0.25,0,3.96,5.56,,,,TRUE,
"Milk, Producer",64.66,3.66,0,3.28,4.65,,,,TRUE,
"Milk, Red Fat",49.65,1.97,0,3.3,4.68,,,,TRUE,
"Milk, Sheep",108.36,7,0,5.98,5.36,,,,TRUE,
"Milk, Whl",60.21,3.25,0,3.22,4.52,,,,TRUE,
Milkfish,142.69,6.73,0,20.53,0,,,,TRUE,
"Milkfish, Dry Heat",182.95,8.63,0,26.32,0,,,,TRUE,
Millet,373.46,4.22,8.5,11.02,72.85,,,,TRUE,
"Millet, Puffed",402.6,3.4,2.7,13,80,,,,TRUE,
Miso,206.73,6.01,5.4,11.69,26.47,,,,TRUE,
"Mixed Nuts, Dry Rstd",633.65,51.45,9,17.3,25.35,,,,TRUE,
"Mixed Nuts, Oil Rstd",659.65,56.33,9.9,16.76,21.41,,,,TRUE,
"Mixed Nuts, Wo/Pnuts",656.69,56.17,5.5,15.52,22.27,,,,TRUE,
Mixed Veg & Fruit Juc Drk,30.13,0.01,0,0.04,7.47,,,,TRUE,
Molasses,299.82,0.1,0,0,74.73,,,,TRUE,
Monkfish,71.6,1.52,0,14.48,0,,,,TRUE,
"Monkfish, Dry Heat",91.79,1.95,0,18.56,0,,,,TRUE,
"Moose, Liver",155.25,4.89,0,24.38,3.43,,,,TRUE,
"Moose, Meat",102.7,1.5,0,22.3,0,,,,TRUE,
"Mor-Nu, Tofu",36.8,0.8,0,6.3,1.1,,,,TRUE,
"Mori-Nu, Tofu",55.1,2.7,0.1,4.8,2.9,,,,TRUE,
"Morningstar Farms America'S Original Veggie Dog, Frz",139.7,1.3,3.5,19.7,12.3,,,,TRUE,
"Morningstar Farms Asian Veggie Patties, Frz",159,6.2,3,10.9,14.9,,,,TRUE,
"Morningstar Farms Brkfst Pattie Made W/ Org Soy, Frz",204.6,8.2,4.3,22.1,10.6,,,,TRUE,
"Morningstar Farms Chik Patties Original, Frz",201.8,7,3,11.8,22.9,,,,TRUE,
"Morningstar Farms Chik'N Nuggets, Frz",218.4,8.72,2.3,14.19,20.79,,,,TRUE,
"Morningstar Farms Garden Veggie Patties, Frz",176.4,5.6,4.5,17.8,13.7,,,,TRUE,
"Morningstar Farms Grillers Original, Frz",213.3,9.3,4.4,23.9,8.5,,,,TRUE,
"Morningstar Farms Grillers Prime, Frz",238.4,13.2,2.6,24,5.9,,,,TRUE,
"Morningstar Farms Grillers Recipe Crumbles, Frz",140.7,4.3,4.7,17.8,7.7,,,,TRUE,
"Morningstar Farms Grillers Vegan, Frz",132.2,3.4,5.2,16.3,9.1,,,,TRUE,
"Morningstar Farms Italian Herb Chik Patties, Frz",241.8,7,3.4,13.6,31.1,,,,TRUE,
"Morningstar Farms Meal Starters Chik'N Strips, Frz",169.1,3.9,1.4,26.8,6.7,,,,TRUE,
"Morningstar Farms Meal Starters Steak Strips, Frz",177.3,4.1,1.1,26.1,9,,,,TRUE,
"Morningstar Farms Meatfree Buffalo Wings, Frz",235.8,9.4,3.7,14.5,23.3,,,,TRUE,
"Morningstar Farms Meatless Corn Dogs, Frz",227.73,6.17,4.2,11.38,31.67,,,,TRUE,
"Morningstar Farms Meatless Mini Corn Dogs, Frz",229.24,6.48,4.2,13.44,29.29,,,,TRUE,
"Morningstar Farms Okara Patties Made W/ Org Soy, Frz",177.6,7.2,4.5,18.6,9.6,,,,TRUE,
"Morningstar Farms Original Chik'N Tenders, Frz",232.5,8.1,3.6,14.7,25.2,,,,TRUE,
"Morningstar Farms Rstd Herb Chik'N W/ Org Soy, Frz",166.9,4.1,2.7,18.9,13.6,,,,TRUE,
"Morningstar Farms Sausage Style Recipe Crumbles, Frz",163.8,4.2,2,17.8,13.7,,,,TRUE,
"Morningstar Farms Veggie Bacon Strips, Frz",346.2,26.6,5.1,12.4,14.3,,,,TRUE,
"Morningstar Farms Veggie Bites Broccoli Cheddar, Frz",214.5,11.7,1.5,9.9,17.4,,,,TRUE,
"Morningstar Farms Veggie Bites Country Scramble, Frz",215.8,9.4,2.4,13,19.8,,,,TRUE,
"Morningstar Farms Veggie Bites Eggs Florentine, Frz",205.5,8.7,2.2,11.7,20.1,,,,TRUE,
"Morningstar Farms Veggie Bites Spinach Artichoke, Frz",226.3,11.9,2.1,11,18.8,,,,TRUE,
"Morningstar Farms Veggie Corn Dogs W/ Nat Ingr, Frz",231.2,6.8,2.3,11.6,30.9,,,,TRUE,
"Morningstar Farms Veggie Medley W/ Org Soy, Frz",178.1,5.7,2.7,15.9,15.8,,,,TRUE,
"Morningstar Farms Veggie Sausage Links, Frz",158.9,6.1,4,19.2,6.8,,,,TRUE,
"Morningstar Farms Veggie Sausage Patties, Frz",209.5,7.9,4.1,25.8,8.8,,,,TRUE,
"Mortadella, Beef",306.19,25.39,0,16.37,3.05,,,,TRUE,
"Mothbeans, Mature Seeds",352.33,1.61,0,22.94,61.52,,,,TRUE,
"Mother'S Loaf, Pork",279.1,22.3,0,12.07,7.53,,,,TRUE,
"Mountain Yam, Hawaii",71.5,0.1,0,1.34,16.31,,,,TRUE,
"Mouse Nuts, Roots",80.9,0.1,0,3.9,16.1,,,,TRUE,
"Mouse Nuts, Seedlings",104.3,1.1,0,7.3,16.3,,,,TRUE,
"Muffin, Blueberry",255.1,4.22,4.2,4.23,50.05,,,,TRUE,
"Muffins, Blueberry",362.4,10,0,4.9,63.2,,,,TRUE,
"Muffins, Corn",302.8,8.4,3.4,5.9,50.9,,,,TRUE,
"Muffins, Oat Bran",287.8,7.4,4.6,7,48.3,,,,TRUE,
"Muffins, Pln",295.8,11.4,2.7,6.9,41.4,,,,TRUE,
"Muffins, Wheat Bran",428.4,12,0,7.1,73,,,,TRUE,
Mulberries,48.47,0.39,1.7,1.44,9.8,,,,TRUE,
"Mullet, Striped",111.51,3.79,0,19.35,0,,,,TRUE,
"Mung Bns, Mature Seeds",37.54,0.18,1.8,3.04,5.94,,,,TRUE,
"Mungo Bns, Mature Seeds",351.56,1.64,18.3,25.21,58.99,,,,TRUE,
"Mush, Blue Corn W/ Ash",54.01,0.49,1.1,0.66,11.74,,,,TRUE,
"Mushroom, Oyster",42.81,0.41,2.3,3.31,6.47,,,,TRUE,
"Mushrooms, Brown",27.38,0.1,0.6,2.5,4.12,,,,TRUE,
"Mushrooms, Ckd",34.07,0.47,2.2,2.17,5.29,,,,TRUE,
"Mushrooms, Cnd",30.45,0.29,2.4,1.87,5.09,,,,TRUE,
"Mushrooms, Enoki",43.84,0.32,2.7,2.56,7.68,,,,TRUE,
"Mushrooms, Maitake",36.71,0.19,2.7,1.94,6.81,,,,TRUE,
"Mushrooms, Portabella",32.08,0.2,1.5,2.5,5.07,,,,TRUE,
"Mushrooms, Shiitake",348.71,0.99,11.5,9.58,75.37,,,,TRUE,
"Mushrooms, Straw",40,0.68,2.5,3.83,4.64,,,,TRUE,
"Mushrooms, White",28.54,0.34,1,3.09,3.28,,,,TRUE,
"Mussel, Blue",82.52,2.24,0,11.9,3.69,,,,TRUE,
Mustard Greens,32.2,0.2,3.3,2.7,4.9,,,,TRUE,
"Mustard Grns, Ckd",19.6,0.24,2,2.26,2.1,,,,TRUE,
"Mustard Grns, Frz",26.03,0.27,3.3,2.49,3.41,,,,TRUE,
"Mustard Seed, Yellow",498.36,28.76,14.7,24.94,34.94,,,,TRUE,
Mustard Spinach,27.1,0.3,2.8,2.2,3.9,,,,TRUE,
"Mustard Spinach, Ckd",19.8,0.2,2,1.7,2.8,,,,TRUE,
"Mustard, Prepared",74.89,4.01,3.3,4.37,5.33,,,,TRUE,
Mutton,233.85,11.09,0,33.43,0.08,,,,TRUE,
"Nabisco, Nabisco Grahams Crackers",422.76,10,3.4,6.99,76.2,,,,TRUE,
"Nabisco, Nabisco Ritz Crackers",491.85,23.21,2.3,7.23,63.51,,,,TRUE,
Natto,227.32,11,5.4,17.72,14.36,,,,TRUE,
Nectarines,49.32,0.32,1.7,1.06,10.55,,,,TRUE,
"Nestle, Chef-Mate Chili W/Bns",167.5,9.5,3,7,13.5,,,,TRUE,
"Nestle, Chef-Mate Chili Wo/Bns",149,9,1.5,9,8,,,,TRUE,
"Nestle, Chef-Mate Corned Bf Hash",185.2,12,1.1,8.3,11,,,,TRUE,
"New England Brand Sausage, Pork",156.62,7.58,0,17.27,4.83,,,,TRUE,
New Zealand Spinach,17.8,0.2,0,1.5,2.5,,,,TRUE,
"New Zealand Spinach, Ckd",15.53,0.17,0,1.3,2.2,,,,TRUE,
Nopales,19.41,0.09,2.2,1.32,3.33,,,,TRUE,
"Nopales, Ckd",18.97,0.05,2,1.35,3.28,,,,TRUE,
"Nutmeg, Ground",547.31,36.31,20.8,5.84,49.29,,,,TRUE,
"Nuts, Cashew Nuts",588.29,43.85,3.3,18.22,30.19,,,,TRUE,
"Nuts, Cocnt Crm",364.31,16.31,0.2,1.17,53.21,,,,TRUE,
"Nuts, Mxd Nuts",659.65,56.33,9,16.76,21.41,,,,TRUE,
"Nuts, Pine Nuts",722.41,68.37,3.7,13.69,13.08,,,,TRUE,
Oat Bran,397.35,7.03,15.4,17.3,66.22,,,,TRUE,
"Oat Flr, Part Debranned",403.52,9.12,6.5,14.66,65.7,,,,TRUE,
Oats,394.74,6.9,10.6,16.89,66.27,,,,TRUE,
"Ocean Perch, Atlantic",89.15,1.63,0,18.62,0,,,,TRUE,
Octopus,56.4,0.8,0,12.3,0,,,,TRUE,
"Octopus, Common",77.8,1.04,0,14.91,2.2,,,,TRUE,
Oheloberries,30.86,0.22,0,0.38,6.84,,,,TRUE,
"Oil, Bearded Seal",898.64,99.6,0,0.56,0,,,,TRUE,
"Oil, Beluga",900,100,0,0,0,,,,TRUE,
"Oil, Corn",900,100,0,0,0,,,,TRUE,
"Oil, Indus",900,100,0,0,0,,,,TRUE,
"Oil, Industrial",900,100,0,0,0,,,,TRUE,
"Oil, Pam Cooking Spray",792.01,78.69,0,0.26,20.69,,,,TRUE,
"Oil, Spotted Seal",893.88,99.32,0,0,0,,,,TRUE,
"Oil, Veg",900,100,0,0,0,,,,TRUE,
"Oil, Vegetable",900,100,0,0,0,,,,TRUE,
"Oil, Walrus",900,100,0,0,0,,,,TRUE,
"Oil, Whale",900,100,0,0,0,,,,TRUE,
"Oil, Wheat Germ",900,100,0,0,0,,,,TRUE,
Okra,37.02,0.1,3.2,2,7.03,,,,TRUE,
"Okra, Ckd",27.41,0.21,2.5,1.87,4.51,,,,TRUE,
"Okra, Frozen",35.53,0.25,2.2,1.69,6.63,,,,TRUE,
"Okra, Frz",34.02,0.3,2.8,2.08,5.75,,,,TRUE,
"Olive Loaf, Pork",232.5,16.5,0,11.8,9.2,,,,TRUE,
"Olives, Cnd Or Btld",157.36,15.32,3.3,1.03,3.84,,,,TRUE,
"Olives, Ripe",124.52,10.68,3.2,0.84,6.26,,,,TRUE,
Onion Powder,372.61,1.05,5.7,10.12,80.67,,,,TRUE,
"Onion Rings, Breaded",261.62,14.1,1.8,3.15,30.53,,,,TRUE,
Onions,42.66,0.1,1.7,1.1,9.34,,,,TRUE,
"Onions, Ckd",47.75,0.19,1.4,1.36,10.15,,,,TRUE,
"Onions, Cnd",20.29,0.09,1.2,0.85,4.02,,,,TRUE,
"Onions, Dehydrated Flakes",373.06,0.46,9.2,8.95,83.28,,,,TRUE,
"Onions, Frz",31.3,0.1,1.8,0.79,6.81,,,,TRUE,
"Onions, Spring Or Scallions",38.39,0.19,2.6,1.83,7.34,,,,TRUE,
"Onions, Swt",34.12,0.08,0.9,0.8,7.55,,,,TRUE,
"Onions, Welsh",37.2,0.4,0,1.9,6.5,,,,TRUE,
"Onions, Yel",132.44,10.8,1.7,0.95,7.86,,,,TRUE,
"Onions, Young Grn",30.7,0.1,3.5,1.8,5.65,,,,TRUE,
"Oopah, Whl Animal",66.6,2.2,0,11.7,0,,,,TRUE,
"Orange Brkfst Drk, Rtd",43.2,0,0.2,0,10.8,,,,TRUE,
"Orange Drk, Brkfst Type",45.76,0,0,0.12,11.32,,,,TRUE,
"Orange Drk, Cnd",49.99,0.07,0,0,12.34,,,,TRUE,
"Orange Juc, California",45.87,0.27,0,0.8,10.06,,,,TRUE,
"Orange Juc, Chilled",45.13,0.13,0.2,0.8,10.19,,,,TRUE,
"Orange Juc, Cnd",48.11,0.15,0.3,0.68,11.01,,,,TRUE,
"Orange Juc, Frz Conc",164.13,0.21,0.8,2.39,38.17,,,,TRUE,
Orange Juice,46.2,0.2,0.2,0.7,10.4,,,,TRUE,
Orange Juice Drink,54.44,0,0.2,0.2,13.41,,,,TRUE,
Orange Peel,107.8,0.2,10.6,1.5,25,,,,TRUE,
"Orange&Apricot Juc Drk, Cnd",52.9,0.1,0.1,0.3,12.7,,,,TRUE,
"Orange-Flavor Drk, Brkfst Type",395.76,0,0.4,0,98.94,,,,TRUE,
"Orange-Grapefruit Juc, Cnd",44.42,0.1,0.1,0.6,10.28,,,,TRUE,
Orange-Strawberry-Banana Juc,52.48,0.16,0.2,0.42,12.34,,,,TRUE,
"Oranges, All Comm Var",51.84,0.12,2.4,0.94,11.75,,,,TRUE,
"Oranges, California",54.42,0.3,2.5,1.04,11.89,,,,TRUE,
"Oranges, Florida",50.85,0.21,2.4,0.7,11.54,,,,TRUE,
"Oranges, Navels",55.15,0.15,2.2,0.91,12.54,,,,TRUE,
"Oranges, With Peel",69.9,0.3,4.5,1.3,15.5,,,,TRUE,
"Oriental Mix, Rice-Based",505.94,25.58,13.2,17.31,51.62,,,,TRUE,
"Oscar Mayer, Bologna",317.8,29.4,0,10.9,2.4,,,,TRUE,
"Oscar Mayer, Braunschweiger Liver Sausage",331.55,29.35,0.2,14.25,2.6,,,,TRUE,
"Oscar Mayer, Chick Breast",85.4,0.6,0,18.3,1.7,,,,TRUE,
"Oscar Mayer, Ham",104.5,3.7,0,16.6,1.2,,,,TRUE,
"Oscar Mayer, Head Cheese",184.3,13.5,0,15.7,0,,,,TRUE,
"Oscar Mayer, Luncheon Loaf",234.1,16.9,0,13.5,7,,,,TRUE,
"Oscar Mayer, Old Fashioned Loaf",231.1,16.3,0,13.1,8,,,,TRUE,
"Oscar Mayer, Olive Loaf",263.4,21.8,0,9.9,6.9,,,,TRUE,
"Oscar Mayer, Pickle Pimiento Loaf",269.2,21.6,0,9.6,9.1,,,,TRUE,
"Oscar Mayer, Pork Sausage Links",343.7,30.5,0,16.3,1,,,,TRUE,
"Oscar Mayer, Salami",387.3,33.3,0,20.7,1.2,,,,TRUE,
"Oscar Mayer, Salami Bf Cotto",205.7,15.7,0,14.2,1.9,,,,TRUE,
"Oscar Mayer, Salami Cotto",245.1,20.3,0,13.4,2.2,,,,TRUE,
"Oscar Mayer, Smmr Sausage Bf Thuringer Cervelat",309,27,0,14.6,1.9,,,,TRUE,
"Oscar Mayer, Smmr Sausage Thuringer Cervalat",303.5,26.7,0,14.9,0.9,,,,TRUE,
"Oscar Mayer, Smokie Links Sausage",302.1,27.3,0,12.4,1.7,,,,TRUE,
"Oscar Mayer, Smokies",302.7,27.1,0,12.9,1.8,,,,TRUE,
"Oscar Mayer, Smokies Sausage Little",300.7,27.1,0,12.4,1.8,,,,TRUE,
"Oscar Mayer, Smokies Sausage Little Chs",314.6,28.2,0,13.5,1.7,,,,TRUE,
"Oscar Mayer, Sndwch Sprd",237,16.6,0.3,6.5,15.4,,,,TRUE,
"Oscar Mayer, Turkey Breast",79.4,0.6,0,14.9,3.6,,,,TRUE,
"Oscar Mayer, Wieners",323.7,29.9,0,10.95,2.7,,,,TRUE,
"Oscar Mayer, Wieners Little",311.1,28.7,0,10.9,2.3,,,,TRUE,
Ostrich,108.1,2.3,0,21.85,0,,,,TRUE,
"Ostrich, Fan",111.09,2.65,0,21.81,0,,,,TRUE,
"Ostrich, Ground",159.18,8.7,0,20.22,0,,,,TRUE,
"Ostrich, Inside Leg",105.04,1.72,0,22.39,0,,,,TRUE,
"Ostrich, Inside Strip",120.59,2.87,0,23.69,0,,,,TRUE,
"Ostrich, Outside Leg",109.08,1.96,0,22.86,0,,,,TRUE,
"Ostrich, Outside Strip",113.33,2.21,0,23.36,0,,,,TRUE,
"Ostrich, Oyster",119.23,3.67,0,21.55,0,,,,TRUE,
"Ostrich, Rnd",109.56,2.4,0,21.99,0,,,,TRUE,
"Ostrich, Tenderloin",116.99,3.19,0,22.07,0,,,,TRUE,
"Ostrich, Tip Ckd",137.09,2.57,0,28.49,0,,,,TRUE,
"Ostrich, Top Loin",113.23,2.95,0,21.67,0,,,,TRUE,
"Owl, Horned",135.8,5,0,22.7,0,,,,TRUE,
"Oyster, Eastern",65.98,2.46,0,7.05,3.91,,,,TRUE,
"Oyster, Pacific",78.3,2.3,0,9.45,4.95,,,,TRUE,
Palm Hearts,115.04,0.2,1.5,2.7,25.61,,,,TRUE,
Papad,370.97,3.25,18.6,25.56,59.87,,,,TRUE,
"Papaya Nectar, Canned",60.07,0.15,0.6,0.17,14.51,,,,TRUE,
Papayas,42.94,0.14,1.8,0.61,9.81,,,,TRUE,
Paprika,398.55,12.95,37.4,14.76,55.74,,,,TRUE,
"Parmesan Chs Topping, Fat Free",365,5,0,40,40,,,,TRUE,
Parsley,44.31,0.79,3.3,2.97,6.33,,,,TRUE,
"Parsley, Dried",336.19,4.43,30.4,22.42,51.66,,,,TRUE,
"Parsley, Freeze-Dried",341.52,5.2,32.7,31.3,42.38,,,,TRUE,
Parsnips,79.46,0.3,4.9,1.2,17.99,,,,TRUE,
"Parsnips, Ckd",76.02,0.3,3.6,1.32,17.01,,,,TRUE,
"Passion-Fruit Juc, Purple",56.41,0.05,0.2,0.39,13.6,,,,TRUE,
"Passion-Fruit Juc, Yel",62.1,0.18,0.2,0.67,14.45,,,,TRUE,
"Passion-Fruit, Purple",108.62,0.7,10.4,2.2,23.38,,,,TRUE,
"Pastrami, Turkey",128.25,6.21,0.1,16.3,1.79,,,,TRUE,
"Pate De Foie Gras, Cnd",458.84,43.84,0,11.4,4.67,,,,TRUE,
Pate Truffle Flavor,326.5,28.5,0,11.2,6.3,,,,TRUE,
"Pate, Chicken Liver",197.9,13.1,0,13.45,6.55,,,,TRUE,
"Pate, Goose Liver",458.84,43.84,0,11.4,4.67,,,,TRUE,
"Pate, Liver",314.8,28,0,14.2,1.5,,,,TRUE,
"Peach Nectar, Cnd",56.94,0.02,0.6,0.27,13.92,,,,TRUE,
Peaches,44.05,0.25,1.5,0.91,9.54,,,,TRUE,
"Peaches, Cnd",26.74,0.06,1.3,0.44,6.11,,,,TRUE,
"Peaches, Dehyd",361.55,1.03,0,4.89,83.18,,,,TRUE,
"Peaches, Dried",266.6,0.76,8.2,3.61,61.33,,,,TRUE,
"Peaches, Frz",99.61,0.13,1.8,0.63,23.98,,,,TRUE,
"Peaches, Spiced",82.86,0.1,1.3,0.41,20.08,,,,TRUE,
"Peanut Butter W/ Omega-3, Creamy",653.41,54.17,6.1,24.47,17,,,,TRUE,
"Peanut Butter, Chunk Style",631.98,49.94,8,24.06,21.57,,,,TRUE,
"Peanut Butter, Chunky",638.23,51.47,5.7,26.06,17.69,,,,TRUE,
"Peanut Butter, Red Na",632.42,49.9,6.6,24,21.83,,,,TRUE,
"Peanut Butter, Smooth",552.2,34,5.2,25.9,35.65,,,,TRUE,
"Peanut Butter, Smooth Style",632.11,50.39,6,25.09,19.56,,,,TRUE,
"Peanut Flour, Defatted",352.55,0.55,15.8,52.2,34.7,,,,TRUE,
"Peanut Flour, Low Fat",457.38,21.9,15.8,33.8,31.27,,,,TRUE,
